        1 |   0.823 | 5.136e-02 |  -1.221 |   0.209
        2 |  -1.960 | 2.495e-02 |  -1.328 |   0.197
        3 |   0.738 | 1.300e-02 |   0.171 |  -0.116
        4 |  -0.301 | 6.790e-03 |  -1.479 |  -0.720
        5 |  -0.461 | 3.125e-03 |   1.057 |   0.344
        6 |  -1.763 | 1.566e-03 |   0.324 |  -0.385
        7 |  -0.677 | 8.570e-04 |   0.612 |   1.031
        8 |   0.931 | 4.134e-04 |  -0.839 |  -0.309
        9 |   0.331 | 1.948e-04 |   0.976 |  -0.479
       10 |  -0.186 | 1.027e-04 |  -1.106 |  -1.196
       11 |   0.813 | 4.896e-05 |   1.356 |  -0.072
       12 |   1.004 | 2.453e-05 |   0.362 |  -0.645
       13 |   0.361 | 1.274e-05 |   1.538 |  -0.036
       14 |   1.565 | 5.706e-06 |  -2.620 |   0.822
       15 |   0.087 | 2.890e-06 |  -0.299 |   0.092
       16 |  -1.988 | 1.540e-06 |  -0.220 |   0.357
       17 |   1.478 | 7.541e-07 |  -0.518 |  -0.808
       18 |  -0.502 | 4.044e-07 |   0.915 |   0.329
       19 |  -0.530 | 1.905e-07 |   0.513 |   0.097
       20 |   0.969 | 9.294e-08 |  -0.702 |  -0.328
       21 |  -0.392 | 5.379e-08 |  -1.464 |   0.296
       22 |   0.261 | 2.484e-08 |   0.005 |  -0.235
       23 |  -1.415 | 1.263e-08 |  -0.421 |  -0.343
       24 |  -0.802 | 5.860e-09 |  -0.161 |   0.404
       25 |   1.886 | 3.076e-09 |   0.175 |   0.258
